"id_producto","id_clase_maquillaje","nombre_clase_maquillaje","cant_min_maqui"
"POL002",1,"Traslucent Dream",1
"POL002",2,"Honey Me",1
"COR001",3,"Bare-4B",1
"COR001",4,"Natural Beige-5B",1
"RUB001",5,"GRL PWR",1
"RUB001",6,"Baby Girl",1
"RUB001",7,"Way Sassy",1
"RUB002",8,"She´s Go It",1
"RUB002",9,"Neverending",1
"RUB002",10,"Can´t & Will",1
"RUB003",11,"Fierce",1
"RUB003",12,"Chingona",1
"RUB003",13,"Glassy",1
"LAB001",14,"01 Almond",1
"LAB001",15,"02 Cocoa",1
"LAB001",16,"07 Sirena",1
"LAB001",17,"08 Poison Apple",1
"LAB001",18,"11 Cognac",1
"LAB001",19,"12 Teddy",1
"LAB002",20,"Peachy",1
"LAB002",21,"Cheeky",1
"LAB002",22,"Wicked",1
"LAB002",23,"Lippy",1
"LAB002",24,"Witty",1
"LAB002",25,"Royal",1
"LAB003",26,"Amazonian",1
"LAB003",27,"Lover",1
"LAB003",28,"Pioneer",1
"LAB003",29,"Voyager",1
"LAB003",30,"City Artist",1
"LAB003",31,"Dreamer",1
"LAB003",32,"Ruler",1
"LAB003",33,"City Inspirer",1
"GLI001",34,"Divine",1
"GLI001",35,"Material Girl",1
"GLI001",36,"Mid Blowing",1
"GLI001",37,"24K",1
"GLI001",38,"Hour Glass",1
"GLI002",39,"Lust",1
"GLI002",40,"Pixie",1
"GLI002",41,"Fairy Dust",1
"DEL002",42,"White",1
"DEL002",43,"Hazelnut",1
"DEL002",44,"Auburn",1
"DEL002",45,"Mahogamy",1
"DEL002",46,"Espresso",1
"DEL002",47,"Light Brown",1
"DEL002",48,"Brown",1
"DEL002",49,"Hot Cocoa",1
"DEL002",50,"Chocolate",1
"DEL002",51,"Red Cherry",1
