id_cotizacion,monto_total,ruc_proveedor,id_est_cotizacion
10, 276.40,20603302151, A
11, 300.40,20607504149,N
12, 227.10,21012345678, A
13, 341.40,22890123456,N
14,249.40,20789101234, A
15, 246.40,20603302151, A
16, 271.50,20607504149, N
17, 216.70,20789101234, A
18, 246.40,21012345678, A
19, 226.40,22890123456, A
20,297.28,20607504149,A
21,240.69,20607504149,A
22,314.75,20789101234,A
23,247.53,22890123456,A
24,279.14,21012345678,N
25,324.93,20789101234,A
26,270.49,20789101234,N
27,262.06,21012345678,N
28,253.8,20603302151,N
29,322.07,20607504149,A
30,268.81,22890123456,N
31,227.02,21012345678,A
32,299.21,20603302151,N
33,269.04,20607504149,A
34,285.07,21012345678,A
35,248.24,20603302151,A
36,288.63,21012345678,N
37,341.35,20603302151,A
38,254.07,20607504149,N
39,286.73,21012345678,N
40,334.62,21012345678,N
41,315.16,22890123456,N
42,251.36,20603302151,A
43,237.53,21012345678,A
44,312.53,20603302151,A
45,222.49,21012345678,A
46,278.86,22890123456,N
47,260.83,22890123456,N
48,227.33,21012345678,A
49,318.84,21012345678,N
50,251.85,21012345678,A
51,261.36,22890123456,N
52,328.44,20789101234,N
53,278.22,20603302151,N
54,290.71,22890123456,A
55,317.23,21012345678,N
56,320.65,20789101234,N
57,298.39,22890123456,N
58,248.6,20607504149,N
59,309.26,21012345678,A
60,325.76,22890123456,N
61,244.65,20607504149,A
62,310.09,20607504149,A
63,221.92,21012345678,N
64,253.14,21012345678,A
65,266.66,20607504149,A
66,301.6,20603302151,A
67,229.8,20607504149,A
68,269.92,20603302151,N
69,340.1,21012345678,N
