"id_funcion","nombre_funcion","caracteristica_general"
1,"Variedad","Ofrece una amplia gama de colores y acabados en un solo producto"
2,"Portabilidad","Son compactas y fáciles de transportar"
3,"Preparar la Piel",NULL
4,"Prolongar la Duración del Maquillaje","Ayuda a que la base del maquillaje y otros productos se adhieran mejor y duren más tiempo sin desvanecerse, agrietarse o desplazarse"
5,"Controlar el Brillo",NULL
6,"Controlar la Oleosidad","Ayudan a controlar el exceso de sebo y mantener un acabado mate durante el día"
7,"Hidratar la Piel","Aportan humedad a la piel"
8,"Suavizar","Crea una superficie más suave para la aplicación del maquillaje"
9,"Rellenar","Rellenar los poros y líneas finas"
10,"Corregir el Color",NULL
11,"Proteger la Piel","Contiene antioxidantes o SPF que proporcionan una capa adicional de protección contra los daños ambientales y la radiación UV"
12,"Añadir Brillo","Proporciona un acabado brillante y llamativo"
13,"Añadir Resplandor",NULL
14,"Crear Efectos Especiales",NULL
15,"Destacar Rasgos",NULL
16,"Versatilidad de Usos","Puede mezclarse con otros productos de maquillaje"
17,"Expresión Artística",NULL
18,"Agregar Color",NULL
19,"Definir y Resaltar",NULL
20,"Complementar Maquillaje",NULL
21,"Hidratar","Contienen ingredientes hidratantes como aceites, mantecas y vitaminas que dan suavidad e hidratación"
22,"Proteger","Incluyen protección solar para prevenir el daño causado por los rayos UV"
23,"Versatilidad de Estilos","Permiten una amplia versatilidad en los estilos de maquillaje, adaptándose a las necesidades y preferencias individuales"
24,"Expresión Personal","Pueden reflejar el estado de ánimo, la personalidad y el estilo individual de quien los usa"
25,"Añadir Volumen",NULL
26,"Añadir Calidez",NULL
27,"Realzar la Estructura Facial",NULL
28,"Fijar Maquillaje","Fijar la base y otros productos en crema o líquidos"
29,"Unificar el Tono de la Piel","Ayudar a suavizar y unificar el tono de la piel, proporcionando un acabado más uniforme y refinado"
30,"Matificar el Rostro",NULL
31,"Suavizar la Apariencia de los Poros y las Líneas Finas",NULL
32,"Disimular Imperfecciones","Ocultar imperfecciones específicas de la piel, como manchas oscuras, granos, cicatrices y decoloraciones"
33,"Neutralizar Tono de Piel",NULL
34,"Iluminar",NULL
35,"Resaltar",NULL
36,"Crear una Base Uniforme","Ayuda a crear una superficie más uniforme y suave, mejorando la apariencia general del maquillaje"
37,"Definir los Ojos","Definir la forma de los ojos y realzar su apariencia"
38,"Agregar Profundidad y Dimensión",NULL
39,"Corregir Formas y Proporciones",NULL
40,"Resaltar los Labios",NULL
41,"Resaltar las Cejas",NULL
42,"Añadir Longitud",NULL
43,"Añadir Definición",NULL
44,"Resistencia al Agua",NULL
45,"Tomar Notas",NULL
46,"Escribir",NULL
47,"Dibujar",NULL
48,"Organizar",NULL
49,"Registrar",NULL
50,"Durabilidad",NULL
51,"Borrado",NULL
52,"Precisión y Control",NULL
