"id_producto","id_sub_tipo"
"PAL001",1
"PAL002",1
"PAL003",1
"PAL004",1
"PRI001",2
"PRI001",3
"POL001",4
"POL002",4
"COR001",2
"COR001",5
"COR002",6
"RUB001",7
"RUB002",8
"RUB003",8
"LAB001",2
"LAB001",9
"LAB001",11
"LAB002",9
"LAB002",10
"LAB002",11
"LAB003",9
"LAB003",11
"GLI001",10
"GLI001",11
"GLI001",12
"GLI002",2
"GLI002",11
"GLI002",12
"DEL001",7
"DEL001",13
"DEL001",23
"DEL002",5
"DEL002",14
"RIM001",14
"RIM001",23
"RIM002",15
"RIM002",23
"RIM003",14
"RIM003",23
"RIM004",15
"RIM004",16
"RIM004",23
"CUA001",17
"CUA001",18
"CUA001",24
"CUA002",18
"CUA002",19
"CUA002",24
"CUA003",18
"CUA003",20
"CUA003",25
"LAP001",21
"LAP002",21
"LAP003",21
"LAP004",21
"LAP005",22
"LAP006",21
"LAP007",21
"LAP008",21
"LAP009",21
