"seccion","id_repisas","altura"
"A","R1","80.0"
"A","R2","80.0"
"A","R3","80.0"
"A","R4","60.0"
"A","R5","60.0"
"A","R6","60.0"
"A","R7","60.0"
"B","R8","48.0"
"B","R9","48.0"
"B","S1","48.0"
"B","S2","48.0"
"B","S3","48.0"
"B","S4","48.0"
"B","S5","48.0"
"B","S6","48.0"
"B","S7","48.0"
"B","S8","48.0"
"B","S9","48.0"
"B","P1","48.0"
"B","P2","48.0"
"B","P3","48.0"
"B","P4","48.0"
"C","P5","80.0"
"C","P6","80.0"
"C","P7","80.0"
"C","P8","80.0"
"C","P9","80.0"
"C","T1","80.0"
"C","T2","80.0"
"C","T3","80.0"
"C","T4","80.0"
"D","T5","60.0"
"D","T6","60.0"
"D","T7","60.0"
"D","T8","60.0"
"D","T9","80.0"
"D","Q1","80.0"
"D","Q2","80.0"
