id_pedido;fecha_entrega;id_ruta;id_repartidor;id_venta;id_est_pedido
1001;29/01/2024;33;4851677;900001;E
1002;19/03/2024;41;7851678;900002;E
1003;19/03/2024;6;2339558;900003;E
1004;25/02/2024;31;7851678;900004;E
1005;30/03/2024;21;2339558;900005;E
1006;6/05/2024;42;4851677;900006;E
1007;18/05/2024;37;7851678;900007;E
1008;5/02/2024;19;7851678;900008;E
1009;16/01/2024;42;4851677;900009;E
1010;29/04/2024;6;7851678;900010;E
1011;18/04/2024;21;7851678;900011;E
1012;22/01/2024;17;2339558;900012;E
1013;20/02/2024;14;7851678;900013;E
1014;26/05/2024;39;2339558;900014;E
1015;26/04/2024;7;7851678;900015;E
1016;30/01/2024;5;4851677;900016;E
1017;9/05/2024;15;6696120;900017;E
1018;16/03/2024;19;6696120;900018;E
1019;21/02/2024;37;4902270;900019;E
1020;18/04/2024;9;8291698;900020;E
1021;6/01/2024;34;4851677;900021;E
1022;10/01/2024;24;6696120;900022;E
1023;30/05/2024;27;9561677;900023;E
1024;28/02/2024;5;8291698;900024;E
1025;19/01/2024;14;4902270;900025;E
1026;18/02/2024;28;8291698;900026;E
1027;26/03/2024;33;8291698;900027;E
1028;9/03/2024;40;;900028;E
1029;28/02/2024;8;4902270;900029;E
1030;29/01/2024;21;;900030;E
1031;19/05/2024;18;4851677;900031;E
1032;17/02/2024;8;4902270;900032;E
1033;30/03/2024;11;6696120;900033;E
1034;5/04/2024;9;1030925;900034;E
1035;19/07/2024;31;1030925;900035;E
1036;30/06/2024;14;4851677;900036;E
1037;30/01/2024;29;1030925;900037;E
1038;15/03/2024;26;4730499;900038;E
1039;7/02/2024;18;6696120;900039;E
1040;25/02/2024;34;1030925;900040;E
1041;28/03/2024;21;4851677;900041;E
1042;30/01/2024;20;1030925;900042;E
1043;29/01/2024;14;4902270;900043;E
1044;26/03/2024;2;1030925;900044;E
1045;19/04/2024;28;9561677;900045;E
1046;29/03/2024;8;4851677;900046;E
1047;16/06/2024;31;9561677;900047;E
1048;24/04/2024;21;6696120;900048;E
1049;10/04/2024;30;4902270;900049;E
1050;6/04/2024;32;9561677;900050;E
1051;9/02/2024;2;4902270;900051;E
1052;9/01/2024;8;9561677;900052;E
1053;5/03/2024;18;6696120;900053;E
1054;20/04/2024;42;9561677;900054;E
1055;19/01/2024;35;6696120;900055;E
1056;17/05/2024;35;4851677;900056;E
1057;28/03/2024;26;9561677;900057;E
1058;19/01/2024;37;9561677;900058;E
1059;18/03/2024;34;9561677;900059;E
1060;24/05/2024;8;4902270;900060;E
1061;30/03/2024;15;8291698;900061;E
1062;5/03/2024;26;4902270;900062;E
1063;27/05/2024;15;3949089;900063;E
1064;19/01/2024;29;8291698;900064;E
1065;10/05/2024;36;3949089;900065;E
1066;30/01/2024;13;4902270;900066;E
1067;25/02/2024;17;8291698;900067;E
1068;16/02/2024;27;3949089;900068;E
1069;18/01/2024;24;6696120;900069;E
1070;25/01/2024;30;1564677;900070;E
1071;26/03/2024;26;4851677;900071;E
1072;30/04/2024;28;1564677;900072;E
1073;10/04/2024;24;1564677;900073;E
1074;28/02/2024;8;4902270;900074;E
1075;9/02/2024;43;3949089;900075;E
1076;9/02/2024;1;1564677;900076;E
1077;12/04/2024;17;3949089;900077;E
1078;16/05/2024;5;4902270;900078;E
1079;14/02/2024;24;5542200;900079;E
1080;25/02/2024;14;1030925;900080;E
1081;17/02/2024;26;1030925;900081;E
1082;12/03/2024;39;1030925;900082;E
1083;15/03/2024;6;4902270;900083;E
1084;17/03/2024;26;1564677;900084;E
1085;13/03/2024;10;5542200;900085;E
1086;30/04/2024;20;4851677;900086;E
1087;19/04/2024;22;1564677;900087;E
1088;30/03/2024;43;4730499;900088;E
1089;29/05/2024;43;5542200;900089;E
1090;15/04/2024;17;5542200;900090;E
1091;28/02/2024;32;1564677;900091;E
1092;14/02/2024;31;4730499;900092;E
1093;11/04/2024;32;1564677;900093;E
1094;5/03/2024;12;5542200;900094;E
1095;5/03/2024;7;1564677;900095;E
1096;25/02/2024;25;4851677;900096;E
1097;9/07/2024;10;1030925;900097;P
1098;10/01/2024;14;4730499;900098;E
1099;8/03/2024;28;1564677;900099;E
1100;19/08/2024;8;4730499;900100;P
