"id_producto","id_color"
"PAL001",1
"PAL002",6
"PAL003",7
"PAL004",8
"PRI001",5
"POL001",7
"POL002",7
"POL002",12
"COR001",12
"COR002",4
"RUB001",2
"RUB001",7
"RUB001",10
"RUB002",2
"RUB002",7
"RUB002",10
"RUB003",6
"RUB003",7
"RUB003",8
"RUB003",10
"LAB001",2
"LAB001",7
"LAB001",12
"LAB002",2
"LAB002",12
"LAB003",2
"LAB003",7
"GLI001",1
"GLI001",9
"GLI001",11
"GLI002",10
"DEL001",11
"DEL002",11
"RIM001",11
"RIM002",11
"RIM003",11
"RIM004",10
"CUA001",12
"CUA002",4
"CUA003",4
"LAP001",1
"LAP001",7
"LAP002",10
"LAP003",7
"LAP004",12
"LAP005",4
"LAP006",7
"LAP007",4
"LAP007",7
"LAP008",4
"LAP008",7
"LAP009",4
"LAP009",7
