"id_producto","id_inventario","entradas","salidas","ultima_actualizacion","seccion","id_stand","id_repisas"
"PAL001",1,80,30,"2024-06-05 12:30:00","A","E2","R5"
"PAL002",2,70,20,"2024-06-05 12:30:00","A","E2","R5"
"PAL003",3,40,20,"2024-06-05 12:30:00","A","E2","R6"
"PAL004",4,40,10,"2024-06-05 12:30:00","A","E2","R6"
"PRI001",5,100,45,"2024-06-05 12:30:00","B","E3","R9"
"POL001",6,100,45,"2024-06-05 12:30:00","B","E4","S7"
"POL002",7,100,45,"2024-06-05 12:30:00","B","E4","S7"
"COR001",8,100,45,"2024-06-05 12:30:00","B","E3","R8"
"COR002",9,100,45,"2024-06-05 12:30:00","B","E4","S8"
"RUB001",10,100,45,"2024-06-05 12:30:00","B","E5","P1"
"RUB002",11,100,45,"2024-06-05 12:30:00","B","E5","P1"
"RUB003",12,100,45,"2024-06-05 12:30:00","B","E5","P1"
"LAB001",13,100,45,"2024-06-05 12:30:00","B","E3","S1"
"LAB002",14,100,45,"2024-06-05 12:30:00","B","E4","S6"
"LAB003",15,100,45,"2024-06-05 12:30:00","B","E4","S6"
"GLI001",16,100,45,"2024-06-05 12:30:00","B","E5","P2"
"GLI002",17,100,45,"2024-06-05 12:30:00","B","E5","P2"
"DEL001",18,100,45,"2024-06-05 12:30:00","B","E3","S2"
"DEL002",19,100,45,"2024-06-05 12:30:00","B","E4","S5"
"RIM001",20,100,45,"2024-06-05 12:30:00","A","E1","R3"
"RIM002",21,100,45,"2024-06-05 12:30:00","A","E2","R4"
"RIM003",22,100,45,"2024-06-05 12:30:00","B","E3","S3"
"RIM004",23,100,45,"2024-06-05 12:30:00","B","E4","S4"
"CUA001",24,150,53,"2024-06-05 12:30:00","C","E6","P5"
"CUA002",25,150,20,"2024-06-05 12:30:00","C","E7","T1"
"CUA003",26,150,20,"2024-06-05 12:30:00","C","E7","T1"
"LAP001",27,180,85,"2024-06-05 12:30:00","D","E9","T7"
"LAP002",28,180,85,"2024-06-05 12:30:00","D","E9","T7"
"LAP003",29,180,85,"2024-06-05 12:30:00","D","E9","T6"
"LAP004",30,180,85,"2024-06-05 12:30:00","D","E9","T6"
"LAP005",31,180,85,"2024-06-05 12:30:00","D","F1","Q1"
"LAP006",32,180,85,"2024-06-05 12:30:00","D","F1","Q1"
"LAP007",33,180,85,"2024-06-05 12:30:00","D","F1","Q2"
"LAP008",34,180,85,"2024-06-05 12:30:00","D","F1","Q2"
"LAP009",35,180,85,"2024-06-05 12:30:00","D","E9","T5"
