id_cotizacion,id_producto,cantidad
10,1,10
11,2,15
12,3,15
13,4,8
14,5,10
15,6,10
16,7,12
17,8,10
18,9,15
19,10,8
20,1,10
21,2,8
22,3,10
23,4,10
24,5,12
25,6,12
26,7,12
27,8,12
28,9,15
29,10,10
30,1,15
31,2,10
32,3,12
33,4,15
34,5,8
35,6,8
36,7,8
37,8,12
38,9,8
39,10,12
40,1,15
41,2,10
42,3,10
43,4,12
44,5,12
45,6,15
46,7,15
47,8,15
48,9,15
49,10,10
50,1,12
51,2,15
52,3,12
53,4,15
54,5,10
55,6,12
56,7,12
57,8,10
58,9,15
59,10,8
60,1,8
61,2,12
62,3,12
63,4,15
64,5,15
65,6,12
66,7,8
67,8,12
68,9,8
69,10,10
70,1,15
71,2,8
72,3,10
73,4,12
74,5,10
75,6,10
76,7,10
77,8,10
78,9,12
79,10,15
10,2,10
11,3,10
12,4,10
13,5,8
14,6,15
15,7,10
16,8,15
17,9,15
18,10,10
19,2,8
20,3,8
21,4,15
22,5,8
23,6,8
24,7,15
25,8,8
26,9,8
27,10,10
28,2,12
29,3,10
30,4,15
31,5,12
32,6,12
33,7,15
34,8,12
35,9,10
36,10,8
37,2,15
38,3,8
39,4,10
40,5,10
41,6,10
42,7,8
43,8,12
44,9,12
45,10,12
46,2,15
47,3,8
48,4,15
49,5,10
50,6,10
51,7,12
52,8,15
53,9,8
54,10,15
55,2,8
56,3,15
57,4,8
58,5,8
59,6,12
60,7,8
61,8,10
62,9,10
63,10,15
64,2,12
65,3,12
66,4,12
67,5,12
68,6,15
69,7,12
70,8,12
71,9,8
72,10,10
73,2,15
74,3,15
75,4,8
76,5,12
77,6,10
78,7,10
79,8,8
10,3,12
11,4,10
12,5,15
13,6,8
14,7,15
15,8,12
16,9,15
17,10,10
18,3,10
19,4,12
20,5,10
21,6,15
22,7,8
23,8,12
24,9,15
25,10,10
26,3,12
27,4,10
28,5,8
29,6,8
30,7,10
31,8,12
32,9,8
33,10,12
34,3,12
35,4,15
36,5,12
37,6,8
38,7,12
39,8,15
40,9,10
41,10,10
42,3,12
43,4,10
44,5,10
45,6,10
46,7,10
47,8,10
48,9,12
49,10,8
50,3,10
51,4,15
52,5,12
53,6,12
54,7,8
55,8,10
56,9,12
57,10,10
58,3,10
59,4,15
60,5,12
61,6,8
62,7,15
63,8,12
64,9,8
65,10,10
66,3,10
67,4,15
68,5,8
69,6,8
70,7,10
71,8,15
72,9,15
73,10,12
74,3,8
75,4,12
76,5,10
77,6,10
78,7,15
79,8,12
