Id_cupón, fecha_ini_cup, fecha_fin_cup, desc_cup, esta_activo
1000,'2022-01-01','2022-02-01',0.10,FALSE
1001,'2022-02-01','2022-03-01',0.20,FALSE
1002,'2022-03-01','2022-04-01',0.50,FALSE
1003,'2022-04-01','2022-05-01',0.40,FALSE
1004,'2022-05-01','2022-06-01',0.40,FALSE
1005,'2022-06-01','2022-07-01',0.30,FALSE
1006,'2022-07-01','2022-08-01',0.25,FALSE
1007,'2022-08-01','2022-09-01',0.20,FALSE
1008,'2022-09-01','2022-10-01',0.15,FALSE
1009,'2022-10-01','2022-11-01',0.20,FALSE
1010,'2022-11-01','2022-12-01',0.30,FALSE
1011,'2022-11-01','2022-12-01',0.45,FALSE
1012,'2022-11-01','2022-12-01',0.35,FALSE
1013,'2022-12-01','2023-01-01',0.25,FALSE
1014,'2022-12-01','2023-01-01',0.15,FALSE
1015,'2022-12-01','2023-01-01',0.10,FALSE
1016,'2023-01-01','2023-02-01',0.50,FALSE
1017,'2023-01-01','2023-02-01',0.40,FALSE
1018,'2023-01-01','2023-02-01',0.60,FALSE
1019,'2023-02-01','2023-03-01',0.20,FALSE
1020,'2023-02-01','2023-03-01',0.55,FALSE
1021,'2023-02-01','2023-03-01',0.25,FALSE
1022,'2023-02-01','2023-03-01',0.35,FALSE
1023,'2023-03-01','2023-04-01',0.45,FALSE
1024,'2023-03-01','2023-04-01',0.50,FALSE
1025,'2023-03-01','2023-04-01',0.30,FALSE
1026,'2023-04-01','2023-05-01',0.20,FALSE
1027,'2023-04-01','2023-05-01',0.15,FALSE
1028,'2023-04-01','2023-05-01',0.40,FALSE
1029,'2023-05-01','2023-06-01',0.60,FALSE
1030,'2023-05-01','2023-06-01',0.55,FALSE
1031,'2023-05-01','2023-06-01',0.25,FALSE
1032,'2023-05-01','2023-06-01',0.35,FALSE
1033,'2023-06-01','2023-07-01',0.45,FALSE
1034,'2023-06-01','2023-07-01',0.50,FALSE
1035,'2023-06-01','2023-07-01',0.30,FALSE
1036,'2023-07-01','2023-08-01',0.20,FALSE
1037,'2023-07-01','2023-08-01',0.15,FALSE
1038,'2023-07-01','2023-08-01',0.40,FALSE
1039,'2023-08-01','2023-09-01',0.60,FALSE
1040,'2023-08-01','2023-09-01',0.55,FALSE
1041,'2023-08-01','2023-09-01',0.25,FALSE
1042,'2023-08-01','2023-09-01',0.35,FALSE
1043,'2023-09-01','2023-10-01',0.45,FALSE
1044,'2023-09-01','2023-10-01',0.50,FALSE
1045,'2023-09-01','2023-10-01',0.30,FALSE
1046,'2023-10-01','2023-11-01',0.20,FALSE
1047,'2023-10-01','2023-11-01',0.15,FALSE
1048,'2023-10-01','2023-11-01',0.40,FALSE
1049,'2023-11-01','2023-12-01',0.60,FALSE
1050,'2023-11-01','2023-12-01',0.55,FALSE
1051,'2023-11-01','2023-12-01',0.25,FALSE
1052,'2023-11-01','2023-12-01',0.35,FALSE
1053,'2023-12-01','2024-01-01',0.45,FALSE
1054,'2023-12-01','2024-01-01',0.50,FALSE
1055,'2023-12-01','2024-01-01',0.30,FALSE
1056,'2024-01-01','2024-02-01',0.20,FALSE
1057,'2024-01-01','2024-02-01',0.15,FALSE
1058,'2024-01-01','2024-02-01',0.40,FALSE
1059,'2024-02-01','2024-03-01',0.60,FALSE
1060,'2024-02-01','2024-03-01',0.55,FALSE
1061,'2024-02-01','2024-03-01',0.25,FALSE
1062,'2024-02-01','2024-03-01',0.35,FALSE
1063,'2024-03-01','2024-04-01',0.45,FALSE
1064,'2024-03-01','2024-04-01',0.50,FALSE
1065,'2024-03-01','2024-04-01',0.30,FALSE
1066,'2024-04-01','2024-05-01',0.20,FALSE
1067,'2024-04-01','2024-05-01',0.15,FALSE
1068,'2024-04-01','2024-05-01',0.40,FALSE
1069,'2024-05-01','2024-06-01',0.60,FALSE
1070,'2024-05-01','2024-06-01',0.55,FALSE
1071,'2024-05-01','2024-06-01',0.25,FALSE
1072,'2024-05-01','2024-06-01',0.35,FALSE
1073,'2024-06-01','2024-07-01',0.45,TRUE
1074,'2024-06-01','2024-07-01',0.50,FALSE
1075,'2024-06-01','2024-07-01',0.30,TRUE
1076,'2024-07-01','2024-08-01',0.20,FALSE
1077,'2024-07-01','2024-08-01',0.15,FALSE
1078,'2024-07-01','2024-08-01',0.40,FALSE
1079,'2024-08-01','2024-09-01',0.60,FALSE
1080,'2024-08-01','2024-09-01',0.55,FALSE
1081,'2024-08-01','2024-09-01',0.25,FALSE
1082,'2024-08-01','2024-09-01',0.35,FALSE
1083,'2024-09-01','2024-10-01',0.45,FALSE
1084,'2024-09-01','2024-10-01',0.50,FALSE
1085,'2024-09-01','2024-10-01',0.30,FALSE
1086,'2024-10-01','2024-11-01',0.20,FALSE
1087,'2024-10-01','2024-11-01',0.15,FALSE
1088,'2024-10-01','2024-11-01',0.40,FALSE
1089,'2024-11-01','2024-12-01',0.60,FALSE
1090,'2024-11-01','2024-12-01',0.55,FALSE
1091,'2024-11-01','2024-12-01',0.25,FALSE
1092,'2024-11-01','2024-12-01',0.35,FALSE
1093,'2024-12-01','2025-01-01',0.45,FALSE
1094,'2024-12-01','2025-01-01',0.50,FALSE
1095,'2024-12-01','2025-01-01',0.30,FALSE
1096,'2025-01-01','2025-02-01',0.20,FALSE
1097,'2025-01-01','2025-02-01',0.15,FALSE
1098,'2025-01-01','2025-02-01',0.40,FALSE
1099,'2025-02-01','2025-03-01',0.60,FALSE
